course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M151,A,INT,590,800,,,,,,,,,5,14,15,29
M151,B,INT,610,770,,,,,,,,,5,15,15,30
M151,B,INT,580,800,,,,,,,,,5,15,15,30
M151,A,INT,430,770,,,,,,3.9,0.92,2,5,10,10,20
M151,B+,INT,490,770,,,,,,3.56,0.94,3,5,14,13,27
M151,B-,INT,,,,,,,,,,,4,10,5,15
M151,A,INT,560,760,,,,,,,,,5,14,14,28
M151,B-,INT,,,,,,,,3.89,,2,5,14,14,28
M151,A,INT,,,,,,,,,,,5,13,14,27
M151,F,INT,,,,,,,,3.92,,2,5,15,12,27
M151,B-,INT,,,,,,,,,,,5,14,14,28
M151,F,INT,460,690,,,,,,,,,5,14,10,24
M151,A,INT,470,760,,,,,,,,,5,13,10,23
M151,F,INT,570,740,,,,,,,,,5,11,8,19
M151,A,INT,490,800,,,,,,,,,5,15,14,29
M151,A,INT,,,,,,,,,,,5,13,8,21
M151,A,INT,610,700,,,,,,,,,5,13,12,25
M151,A,INT,,,,,,,,,,,5,14,9,23
M151,A-,INT,,,,,,,,3.41,,3,5,14,11,25
M151,C,INT,,,,,,,,3.29,,2,4,9,5,14
M151,D,INT,,,,,,,,,,,5,14,11,25
M151,A-,INT,,,,,,,,,,,5,13,13,26
M151,A,INT,440,700,,,,,,,,,5,14,15,29
M151,A-,INT,,,,,,,,,,,3,10,9,19
M151,W,INT,430,800,,,,,,,,2,4,8,13,21
M151,A-,INT,,,,,,,,3.3,,4,0, , ,
M151,B+,INT,620,730,,,,,,4,0.991,1,5,14,11,25
M151,B+,INT,620,780,,,,,,3.15,,3,5,11,10,21
M151,A,INT,,,,,,,,3.98,,1,5,14,12,26
M151,A-,INT,,,,,,,,3.88,,3,0,,,
M151,A,INT,,,,,,,,,,,5,14,13,27
M145,A,INT,,,,,,,,,,3,4,11,6,17
M145,D,INT,560,630,,,,,,,,,0, , ,
M145,A,INT,480,770,,,,,,3.42,,3,5, , ,
M145,A,INT,,,,,,,,3.5,,2,0,,,
M131,A,INT,570,790,,,,,,,,,5,14,14,28
M131,A-,INT,430,710,,,,,,3.56,,3,5,14,10,24
M121,A,INT,450,760,,,,,,3.63,,2,5,15,14,29
M121,C-,INT,,,,,,,,,,,5,14,11,25
M121,F,INT,,,,,,,,2.5,,5,0, , ,
M151,A-,INT,510,580,,,,,,,,,4,13,9,22
M151,F,INT,460,570,,,,,,3.17,,3,2,4,4,8
M145,B+,INT,,,,,,,,3.84,0.94,1,4,10,7,17
M131,A,INT,,,,,,,,,,,0,,,
M121,C,INT,,,,,,,,2.89,0.35,4,2,5,1,6
M151,A-,INT,580,720,,,,,,,,2,0,,,
M151,C,INT,,,,,,,,3.16,,3,2,7,1,8
M151,B+,INT,410,510,,,,,,3.71,,2,0,,,
M151,B-,INT,530,590,,,,,,,,,5,15,14,29
M121,B-,INT,,,,,,,,,,,2,5,3,8
M151,A-,INT,510,650,,,,,,,,2,5,,,
M145,C+,INT,,,,,,,,3.41,,3,4,11,5,16
M145,A-,INT,620,640,,,,,,3.3,,3,4,,,
M131,C,INT,520,550,,,,,,3.76,0.966,2,4,8,8,16
M121,B,INT,,,,,,,,2.59,,4,2,,,
M121,B+,INT,620,610,,,,,,3.27,,3,3,7,1,8
M121,B+,INT,620,610,,,,,,3.27,,3,3,7,1,8
M121,C+,INT,,,,,,,,3.23,,3,2,,,
M121,W,INT,,,,,,,,3.4,,2,2,3,0,3
M121,A,INT,530,600,,,,,,3.74,,2,5, , ,
M121,B+,INT,,,,,,,,2.72,,4,0,,,
M151,C+,INT,580,740,,,,,,,,,5,9,10,19
M151,C+,INT,530,610,,,,,,,,,5,10,10,20
M151,W,INT,,,,,,,,,,,4,7,5,12
M151,D-,INT,,,,,,,,3.2,0.5,4,4,11,6,17
M151,W,INT,650,690,,,,,,3.81,,2,5,11,11,22
M151,C,INT,560,630,,,,,,3.32,,2,4,11,9,20
M151,B-,INT,470,600,,,,,,3.24,,2,2,9,5,14
M151,B,INT,650,720,,,,,,,,,4,11,6,17
M151,A-,INT,650,670,,,,,,3.74,,2,5,15,11,26
M151,A-,INT,680,630,,,,,,3.88,,2,5,14,10,24
M145,B,INT,,,,,,,,,0.54,3,2,,,
M121,C+,INT,570,530,,,,,,2.57,,4,2,,,
M121,B,INT,,,,,,,,3.2,0.5,4,4,11,6,17
M121,B+,INT,610,550,,,,,,3.48,0.85,3,2,11,4,15
M121,B+,INT,560,550,,,,,,3.5,,2,2,,,
M121,A,INT,,,,,,,,,,,0,4,4,8
M151,C-,INT,,,,,,,,,,,0,,,
M151,B-,INT,510,580,,,,,,3.94,0.978,3,2,6,0,6
M145,B,INT,560,590,,,,,,2.34,,3,4,8,7,15
M151,A-,INT,430,740,,,,,,,,,5,15,12,27
M145,A,INT,440,670,,,,,,,,,4,,,
M145,B+,INT,490,660,,,,,,,,,4,11,4,15
M145,A-,INT,540,700,,,,,,,,,4,14,5,19
M121,B-,INT,,,,,,,,2.75,,5,2,,,
M131,D,INT,590,490,,,,,,2.61,,3,1,2,5,7
M151,C,INT,580,770,,,,,,3.8,,2,5,,,
M131,C,INT,,,,,,,,,0.64,3,3,12,4,16
